player_id,player_name,country,played_international,bowling_style,batting_style,player_role
1,SC Ganguly,India,1992 - 2008,Right arm Medium,Left hand Bat,Batter
2,BB McCullum,New Zealand,2002 - 2016,"Right arm Medium, Right arm Offbreak",Right hand Bat,Wicketkeeper Batter
3,RT Ponting,Australia,1995 - 2012,Right arm Medium,Right hand Bat,Top order Batter
4,DJ Hussey,Australia,2008 - 2013,Right arm Offbreak,Right hand Bat,Allrounder
5,Mohammad Hafeez,Pakistan,2003 - 2021,Right arm Offbreak,Right hand Bat,Allrounder
6,R Dravid,India,1996 - 2012,Right arm Offbreak,Right hand Bat,Top order Batter
7,W Jaffer,India,2000 - 2008,Right arm Offbreak,Right hand Bat,Top order Batter
8,V Kohli,India,2008 - 2025,Right arm Medium,Right hand Bat,Top order Batter
9,JH Kallis,South Africa,1995 - 2014,Right arm Fast medium,Right hand Bat,Allrounder
10,CL White,Australia,2005 - 2018,Legbreak Googly,Right hand Bat,Middle order Batter
11,MV Boucher,South Africa,1997 - 2012,Right arm Medium,Right hand Bat,Wicketkeeper Batter
12,B Akhil,India,,Right arm Medium fast,Right hand Bat,Bowler
13,AA Noffke,Australia,2007 - 2008,Right arm Fast medium,Right hand Bat,Allrounder
14,P Kumar,India,2007 - 2012,Right arm Medium,Right hand Bat,Bowler
15,Z Khan,India,2000 - 2014,Left arm Fast medium,Right hand Bat,Bowler
16,SB Joshi,India,1996 - 2001,Slow Left arm Orthodox,Left hand Bat,Allrounder
17,PA Patel,India,2002 - 2018,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter
18,ML Hayden,Australia,1993 - 2009,Right arm Medium,Left hand Bat,Opening Batter
19,MEK Hussey,Australia,2004 - 2013,Right arm Medium,Left hand Bat,Middle order Batter
20,MS Dhoni,India,2004 - 2019,Right arm Medium,Right hand Bat,Wicketkeeper Batter
21,SK Raina,India,2005 - 2018,Right arm Offbreak,Left hand Bat,Middle order Batter
22,JDP Oram,New Zealand,2001 - 2012,Right arm Fast medium,Left hand Bat,Allrounder
23,S Badrinath,India,2008 - 2011,Right arm Offbreak,Right hand Bat,Middle order Batter
24,K Goel,India,,Right arm Offbreak,Left hand Bat,Opening Batter
25,JR Hopes,Australia,2005 - 2010,Right arm Medium,Right hand Bat,Allrounder
26,KC Sangakkara,Sri Lanka,2000 - 2015,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter
27,Yuvraj Singh,India,2000 - 2017,Slow Left arm Orthodox,Left hand Bat,Middle order Batter
28,SM Katich,Australia,2001 - 2010,Left arm Wrist spin,Left hand Bat,Batter
29,IK Pathan,India,2003 - 2012,Left arm Medium fast,Left hand Bat,Allrounder
30,T Kohli,India,,Right arm Medium,Right hand Bat,Top order Batter
31,YK Pathan,India,2007 - 2012,Right arm Offbreak,Right hand Bat,Allrounder
32,SR Watson,Australia,2002 - 2016,Right arm Fast medium,Right hand Bat,Allrounder
33,M Kaif,India,2000 - 2006,Right arm Offbreak,Right hand Bat,Batter
34,DS Lehmann,Australia,1996 - 2005,Slow Left arm Orthodox,Left hand Bat,Top order Batter
35,RA Jadeja,India,2009 - 2025,Slow Left arm Orthodox,Left hand Bat,Allrounder
36,M Rawat,India,,,Right hand Bat,Wicketkeeper Batter
37,D Salunkhe,India,,Legbreak,Right hand Bat,Bowler
38,SK Warne,Australia,1992 - 2007,Legbreak Googly,Right hand Bat,Bowler
39,SK Trivedi,India,,Right arm Medium,Right hand Bat,Bowler
40,G Gambhir,India,2003 - 2016,Legbreak,Left hand Bat,Top order Batter
41,V Sehwag,India,1999 - 2013,Right arm Offbreak,Right hand Bat,Top order Batter
42,S Dhawan,India,2010 - 2022,Right arm Offbreak,Left hand Bat,Opening Batter
43,L Ronchi,New Zealand,2008 - 2018,,Right hand Bat,Wicketkeeper Batter
44,ST Jayasuriya,Sri Lanka,1989 - 2011,Slow Left arm Orthodox,Left hand Bat,Allrounder
45,DJ Thornely,Australia,,"Right arm Medium, Right arm Offbreak",Right hand Bat,Top order Batter
46,RV Uthappa,India,2006 - 2015,Right arm Medium,Right hand Bat,Batter
47,PR Shah,India,,,Right hand Bat,Wicketkeeper Batter
48,AM Nayar,India,2009 - 2009,Right arm Medium,Left hand Bat,Allrounder
49,SM Pollock,South Africa,1995 - 2008,Right arm Fast medium,Right hand Bat,Allrounder
50,Harbhajan Singh,India,1998 - 2016,Right arm Offbreak,Right hand Bat,Bowler
51,S Chanderpaul,West Indies,1994 - 2015,Legbreak,Left hand Bat,Batter
52,LRPL Taylor,New Zealand,2006 - 2022,Right arm Offbreak,Right hand Bat,Middle order Batter
53,AC Gilchrist,Australia,1996 - 2008,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter
54,Y Venugopal Rao,India,2005 - 2006,Right arm Offbreak,Right hand Bat,Middle order Batter
55,VVS Laxman,India,1996 - 2012,Right arm Offbreak,Right hand Bat,Top order Batter
56,A Symonds,Australia,1998 - 2009,"Right arm Medium, Right arm Offbreak",Right hand Bat,Allrounder
57,RG Sharma,India,2007 - 2024,Right arm Offbreak,Right hand Bat,Top order Batter
58,SB Styris,New Zealand,1999 - 2011,Right arm Medium,Right hand Bat,Allrounder
59,AS Yadav,India,,Right arm Offbreak,Right hand Bat,Batter
60,SB Bangar,,2001 - 2004,Right arm Medium fast,Right hand Bat,
61,WPUJC Vaas,Sri Lanka,1994 - 2009,Left arm Fast medium,Left hand Bat,Bowler
62,RP Singh,India,2005 - 2011,Left arm Fast medium,Right hand Bat,Bowler
63,WP Saha,India,2010 - 2021,,Right hand Bat,Wicketkeeper Batter
64,LR Shukla,India,1999 - 1999,Right arm Medium,Right hand Bat,Allrounder
65,DPMD Jayawardene,Sri Lanka,1997 - 2015,Right arm Medium,Right hand Bat,Batter
66,S Sohal,U.S.A.,2019 - 2019,Legbreak,Right hand Bat,Batter
67,B Lee,Australia,1999 - 2012,Right arm Fast,Right hand Bat,Bowler
68,PP Chawla,India,2006 - 2012,Legbreak,Left hand Bat,Bowling Allrounder
69,WA Mota,,,Right arm Medium,Right hand Bat,
70,Kamran Akmal,Pakistan,2002 - 2017,,Right hand Bat,Wicketkeeper Batter
71,Shahid Afridi,Pakistan,1996 - 2018,Legbreak Googly,Right hand Bat,Allrounder
72,DJ Bravo,West Indies,2004 - 2021,Right arm Medium,Right hand Bat,Allrounder
73,MA Khote,,,Right arm Medium,Right hand Bat,
74,A Nehra,India,1999 - 2017,Left arm Medium fast,Right hand Bat,Bowler
75,GC Smith,South Africa,2002 - 2014,Right arm Offbreak,Left hand Bat,Opening Batter
76,Pankaj Singh,India,2010 - 2014,Right arm Medium fast,Right hand Bat,Bowler
77,RR Sarwan,West Indies,2000 - 2013,Legbreak,Right hand Bat,Batter
78,S Sreesanth,India,2005 - 2011,Right arm Fast medium,Right hand Bat,Bowler
79,VRV Singh,,2006 - 2007,Right arm Medium fast,Right hand Bat,
80,SS Tiwary,India,2010 - 2010,,Left hand Bat,Top order Batter
81,DS Kulkarni,India,2014 - 2016,Right arm Medium,Right hand Bat,Bowler
82,R Vinay Kumar,India,2010 - 2013,Right arm Medium,Right hand Bat,Bowler
83,AB Agarkar,India,1998 - 2007,Right arm Fast,Right hand Bat,Bowler
84,M Kartik,India,2000 - 2007,Slow Left arm Orthodox,Left hand Bat,Bowler
85,I Sharma,India,2007 - 2021,Right arm Fast medium,Right hand Bat,Bowler
86,AM Rahane,India,2011 - 2023,Right arm Medium,Right hand Bat,Top order Batter
87,Shoaib Malik,Pakistan,1999 - 2021,Right arm Offbreak,Right hand Bat,Allrounder
88,MK Tiwary,India,2008 - 2015,Legbreak Googly,Right hand Bat,Batter
89,KD Karthik,India,2004 - 2022,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
90,R Bhatia,India,,Right arm Medium fast,Right hand Bat,Allrounder
91,MF Maharoof,Sri Lanka,2004 - 2016,Right arm Fast medium,Right hand Bat,Allrounder
92,VY Mahesh,India,,Right arm Medium fast,Right hand Bat,Allrounder
93,TM Srivastava,India,,Right arm Medium,Left hand Bat,Top order Batter
94,B Chipli,India,,Right arm Medium,Right hand Bat,Batter
95,DW Steyn,South Africa,2004 - 2020,Right arm Fast,Right hand Bat,Bowler
96,DB Das,India,,Legbreak Googly,Right hand Bat,Top order Batter
97,MK Pandey,India,2015 - 2021,Right arm Medium,Right hand Bat,Top order Batter
98,HH Gibbs,South Africa,1996 - 2010,Right arm Bowler,Right hand Bat,Opening Batter
99,DNT Zoysa,Sri Lanka,1997 - 2007,Left arm Fast medium,Left hand Bat,Bowler
100,D Kalyankrishna,,,Right arm Medium fast,Right hand Bat,
101,SE Marsh,Australia,2008 - 2019,Slow Left arm Orthodox,Left hand Bat,Top order Batter
102,SA Asnodkar,India,,Right arm Offbreak,Right hand Bat,Batter
103,Sohail Tanvir,Pakistan,2007 - 2017,Left arm Medium fast,Left hand Bat,Bowler
104,Salman Butt,Pakistan,2003 - 2010,Right arm Offbreak,Left hand Bat,Batter
105,BJ Hodge,Australia,2005 - 2014,Right arm Offbreak,Right hand Bat,Top order Batter
106,Umar Gul,Pakistan,2003 - 2016,Right arm Fast medium,Right hand Bat,Bowler
107,AB Dinda,India,2009 - 2013,Right arm Medium fast,Right hand Bat,Bowler
108,SP Fleming,New Zealand,1994 - 2008,,Left hand Bat,Top order Batter
109,S Vidyut,India,,Slow Left arm Orthodox,Left hand Bat,Batting Allrounder
110,JA Morkel,South Africa,2004 - 2015,Right arm Medium fast,Left hand Bat,Bowling Allrounder
111,AB de Villiers,South Africa,2004 - 2018,Right arm Medium,Right hand Bat,Wicketkeeper Batter
112,LPC Silva,Sri Lanka,1999 - 2011,Legbreak,Right hand Bat,Batter
113,DB Ravi Teja,India,,Legbreak Googly,Right hand Bat,Batter
114,Misbah-ul-Haq,Pakistan,2001 - 2017,Legbreak,Right hand Bat,Middle order Batter
115,YV Takawale,,,,Right hand Bat,
116,RR Raje,,,Right arm Fast medium,Right hand Bat,
117,PJ Sangwan,India,,Left arm Medium,Right hand Bat,Bowler
118,Mohammad Asif,Pakistan,2005 - 2010,Right arm Fast medium,Left hand Bat,Bowler
119,GD McGrath,Australia,1993 - 2007,Right arm Fast medium,Right hand Bat,Bowler
120,Joginder Sharma,India,2004 - 2007,Right arm Fast medium,Right hand Bat,Allrounder
121,MS Gony,India,2008 - 2008,Right arm Medium,Right hand Bat,Bowler
122,M Muralitharan,,,,,
123,M Ntini,South Africa,1998 - 2011,Right arm Fast,Right hand Bat,Bowler
124,DT Patil,,,,Right hand Bat,
125,A Kumble,India,1990 - 2008,Legbreak Googly,Right hand Bat,Bowler
126,S Anirudha,India,,,Right hand Bat,Top order Batter
127,MM Patel,India,2006 - 2011,Right arm Medium fast,Right hand Bat,Bowler
128,CK Kapugedera,Sri Lanka,2006 - 2017,Right arm Medium,Right hand Bat,Middle order Batter
129,A Chopra,India,2003 - 2004,"Right arm Medium, Right arm Offbreak",Right hand Bat,Batter
130,T Taibu,Zimbabwe,2001 - 2012,Right arm Medium,Right hand Bat,Wicketkeeper Batter
131,J Arunkumar,,,Right arm Offbreak,Right hand Bat,
132,PP Ojha,India,2008 - 2013,Slow Left arm Orthodox,Left hand Bat,Bowler
133,SP Goswami,India,,,Left hand Bat,Wicketkeeper Batter
134,SR Tendulkar,India,1989 - 2013,"Right arm Offbreak, Legbreak Googly",Right hand Bat,Top order Batter
135,U Kaul,India,,,Left hand Bat,Wicketkeeper
136,TM Dilshan,Sri Lanka,1999 - 2016,Right arm Offbreak,Right hand Bat,Allrounder
137,A Mishra,India,2003 - 2017,Legbreak,Right hand Bat,Bowler
138,AD Mascarenhas,England,2007 - 2009,Right arm Fast medium,Right hand Bat,Allrounder
139,NK Patel,India,,,Left hand Bat,Allrounder
140,LA Pomersbach,Australia,2007 - 2007,Right arm Offbreak,Left hand Bat,Batter
141,Iqbal Abdulla,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
142,Younis Khan,Pakistan,2000 - 2017,"Right arm Medium, Legbreak",Right hand Bat,Middle order Batter
143,PM Sarvesh Kumar,,,Right arm Medium,Right hand Bat,
144,DP Vijaykumar,,,Right arm Medium,Right hand Bat,
145,Shoaib Akhtar,Pakistan,1997 - 2011,Right arm Fast,Right hand Bat,Bowler
146,Abdur Razzak,Bangladesh,2004 - 2018,Slow Left arm Orthodox,Left hand Bat,Bowler
147,H Das,,,,Right hand Bat,
148,DR Smith,West Indies,2004 - 2015,Right arm Medium,Right hand Bat,Allrounder
149,SD Chitnis,India,,Right arm Offbreak,Right hand Bat,Batter
150,CRD Fernando,Sri Lanka,2000 - 2016,Right arm Fast medium,Right hand Bat,Bowler
151,VS Yeligati,,,Right arm Offbreak,Right hand Bat,
152,L Balaji,India,2002 - 2012,Right arm Medium fast,Right hand Bat,Bowler
153,A Mukund,India,2011 - 2017,Legbreak Googly,Left hand Bat,Top order Batter
154,RR Powar,India,2004 - 2007,Right arm Offbreak,Right hand Bat,Bowler
155,JP Duminy,South Africa,2004 - 2019,Right arm Offbreak,Left hand Bat,Batting Allrounder
156,A Flintoff,England,1998 - 2009,Right arm Fast medium,Right hand Bat,Allrounder
157,T Thushara,Sri Lanka,2003 - 2010,Left arm Fast medium,Left hand Bat,Bowler
158,JD Ryder,New Zealand,2008 - 2014,Right arm Medium,Left hand Bat,Allrounder
159,KP Pietersen,England,2004 - 2014,Right arm Offbreak,Right hand Bat,Top order Batter
160,T Henderson,South Africa,2006 - 2006,Right arm Fast medium,Right hand Bat,Bowler
161,Kamran Khan,India,,Left arm Medium fast,Left hand Bat,Bowler
162,RS Bopara,England,2007 - 2015,Right arm Medium,Right hand Bat,Batting Allrounder
163,CH Gayle,West Indies,1999 - 2021,Right arm Offbreak,Left hand Bat,Allrounder
164,MC Henriques,Australia,2009 - 2021,Right arm Fast medium,Right hand Bat,Allrounder
165,R Bishnoi,India,,Right arm Medium fast,Right hand Bat,Middle order Batter
166,FH Edwards,West Indies,2003 - 2021,Right arm Fast,Right hand Bat,Bowler
167,KV Sharma,India,2014 - 2014,Legbreak Googly,Left hand Bat,Bowler
168,PC Valthaty,India,,Right arm Medium,Right hand Bat,Batter
169,RJ Quiney,Australia,2012 - 2012,Right arm Medium,Left hand Bat,Batter
170,AS Raut,India,,Legbreak Googly,Right hand Bat,Allrounder
171,Yashpal Singh,India,,Right arm Medium,Right hand Bat,Batter
172,M Manhas,India,,Right arm Offbreak,Right hand Bat,Allrounder
173,AA Bilakhia,,,Right arm Medium,Right hand Bat,
174,AN Ghosh,India,,Right arm Medium,Right hand Bat,Batter
175,BAW Mendis,Sri Lanka,2008 - 2015,Right arm Offbreak,Right hand Bat,Bowler
176,DL Vettori,New Zealand,1997 - 2015,Slow Left arm Orthodox,Left hand Bat,Allrounder
177,MN van Wyk,South Africa,2003 - 2015,Slow Left arm Orthodox,Right hand Bat,Wicketkeeper Batter
178,RE van der Merwe,Netherlands,2009 - 2024,Slow Left arm Orthodox,Right hand Bat,Bowling Allrounder
179,TL Suman,India,,Right arm Offbreak,Right hand Bat,Batter
180,Shoaib Ahmed,,,Right arm Fast medium,Right hand Bat,
181,GR Napier,England,,Right arm Medium,Right hand Bat,Bowling Allrounder
182,KP Appanna,India,,Slow Left arm Orthodox,Right hand Bat,Bowler
183,LA Carseldine,Australia,,Left arm Medium,Left hand Bat,Allrounder
184,NV Ojha,India,2010 - 2015,,Right hand Bat,Wicketkeeper Batter
185,SM Harwood,Australia,2007 - 2009,Right arm Fast medium,Right hand Bat,Bowler
186,M Vijay,India,2008 - 2018,Right arm Offbreak,Right hand Bat,Opening Batter
187,SB Jakati,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
188,DA Warner,Australia,2009 - 2024,Legbreak,Left hand Bat,Opening Batter
189,RJ Harris,Australia,2009 - 2015,Right arm Fast,Right hand Bat,Bowler
190,D du Preez,,,Right arm Fast medium,Right hand Bat,
191,M Morkel,South Africa,2006 - 2018,Right arm Fast,Left hand Bat,Bowler
192,AD Mathews,Sri Lanka,2008 - 2024,Right arm Medium,Right hand Bat,Allrounder
193,J Botha,South Africa,2005 - 2012,Right arm Offbreak,Right hand Bat,Allrounder
194,C Nanda,,,Legbreak,Right hand Bat,
195,SL Malinga,Sri Lanka,2004 - 2020,Right arm Fast,Right hand Bat,Bowler
196,Mashrafe Mortaza,Bangladesh,2001 - 2020,Right arm Fast medium,Right hand Bat,Bowler
197,A Singh,India,,Right arm Medium fast,Right hand Bat,Bowler
198,GJ Bailey,Australia,2012 - 2017,Right arm Medium,Right hand Bat,Top order Batter
199,AB McDonald,Australia,2009 - 2009,Right arm Fast medium,Right hand Bat,Allrounder
200,Y Nagar,India,,Right arm Offbreak,Right hand Bat,Allrounder
201,SS Shaikh,,,Right arm Medium,Right hand Bat,
202,R Ashwin,India,2010 - 2024,Right arm Offbreak,Right hand Bat,Bowling Allrounder
203,Mohammad Ashraful,Bangladesh,2001 - 2013,"Right arm Offbreak, Legbreak",Right hand Bat,Middle order Batter
204,CA Pujara,India,2010 - 2023,Legbreak,Right hand Bat,Top order Batter
205,OA Shah,England,2001 - 2009,Right arm Offbreak,Right hand Bat,Batter
206,Anirudh Singh,,,Right arm Medium,Left hand Bat,
207,Jaskaran Singh,Canada,,Right arm Medium,Right hand Bat,Bowler
208,AP Tare,India,,,Right hand Bat,Wicketkeeper
209,AT Rayudu,India,2013 - 2019,Right arm Offbreak,Right hand Bat,Middle order Batter
210,R Sathish,India,,Right arm Medium,Right hand Bat,Allrounder
211,R McLaren,South Africa,2009 - 2014,Right arm Medium fast,Left hand Bat,Allrounder
212,AA Jhunjhunwala,India,,Right arm Offbreak,Right hand Bat,Batter
213,P Dogra,India,,Legbreak,Right hand Bat,Batter
214,A Uniyal,,,Left arm Medium,Left hand Bat,
215,MS Bisla,India,,,Right hand Bat,Wicketkeeper
216,YA Abdulla,South Africa,2009 - 2009,Left arm Fast medium,Left hand Bat,Bowler
217,EJG Morgan,England,2006 - 2022,Right arm Medium,Left hand Bat,Middle order Batter
218,JM Kemp,South Africa,2001 - 2007,Right arm Fast medium,Right hand Bat,Bowling Allrounder
219,S Tyagi,India,2009 - 2010,Right arm Medium,Right hand Bat,Bowler
220,RS Gavaskar,,2004 - 2004,Slow Left arm Orthodox,Left hand Bat,
221,SE Bond,New Zealand,2001 - 2010,Right arm Fast,Right hand Bat,Bowler
222,KA Pollard,West Indies,2007 - 2022,Right arm Medium,Right hand Bat,Batting Allrounder
223,S Ladda,India,,Legbreak,Right hand Bat,Bowler
224,DP Nannes,Australia,2009 - 2010,Left arm Fast,Right hand Bat,Bowler
225,MJ Lumb,England,2010 - 2014,Right arm Medium,Left hand Bat,Top order Batter
226,DR Martyn,Australia,1992 - 2006,Right arm Medium,Right hand Bat,Top order Batter
227,S Narwal,India,,Right arm Medium,Left hand Bat,Allrounder
228,AB Barath,West Indies,2009 - 2012,Right arm Offbreak,Right hand Bat,Opening Batter
229,Bipul Sharma,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
230,FY Fazal,India,2016 - 2016,Right arm Medium,Left hand Bat,Opening Batter
231,AC Voges,Australia,2007 - 2016,Slow Left arm Orthodox,Right hand Bat,Top order Batter
232,MD Mishra,India,,Right arm Offbreak,Right hand Bat,Batter
233,UT Yadav,India,2010 - 2023,Right arm Fast,Right hand Bat,Bowler
234,J Theron,U.S.A.,2010 - 2022,Right arm Medium fast,Right hand Bat,Bowler
235,SJ Srivastava,India,,Left arm Fast medium,Right hand Bat,Bowler
236,R Sharma,India,2011 - 2012,Legbreak Googly,Right hand Bat,Bowler
237,Mandeep Singh,India,2016 - 2016,Right arm Medium,Right hand Bat,Allrounder
238,KM Jadhav,India,2014 - 2020,Right arm Offbreak,Right hand Bat,Batting Allrounder
239,SW Tait,Australia,2005 - 2016,Right arm Fast,Right hand Bat,Bowler
240,KB Arun Karthik,India,,Legbreak Googly,Right hand Bat,Wicketkeeper Batter
241,KAJ Roach,West Indies,2008 - 2024,Right arm Fast medium,Right hand Bat,Bowler
242,PD Collingwood,England,2001 - 2017,Right arm Medium,Right hand Bat,Allrounder
243,CK Langeveldt,South Africa,2001 - 2010,Right arm Fast medium,Right hand Bat,Bowler
244,VS Malik,India,,Right arm Medium,Right hand Bat,Bowler
245,A Mithun,India,2010 - 2011,Right arm Medium,Right hand Bat,Bowler
246,AP Dole,India,,Right arm Medium fast,Right hand Bat,Bowler
247,AN Ahmed,India,,Right arm Medium fast,Right hand Bat,Bowler
248,RS Sodhi,India,2000 - 2002,Right arm Medium,Right hand Bat,Allrounder
249,DE Bollinger,Australia,2009 - 2014,Left arm Fast medium,Left hand Bat,Bowler
250,S Sriram,India,2000 - 2004,Slow Left arm Orthodox,Left hand Bat,Middle order Batter
251,B Sumanth,India,,Right arm Medium fast,Right hand Bat,Middle order Batter
252,C Madan,India,,,Right hand Bat,Wicketkeeper
253,AG Paunikar,India,,,Right hand Bat,Wicketkeeper Batter
254,MR Marsh,Australia,2011 - 2024,Right arm Medium,Right hand Bat,Allrounder
255,AJ Finch,Australia,2011 - 2022,Slow Left arm Orthodox,Right hand Bat,Top order Batter
256,STR Binny,India,2014 - 2016,Right arm Medium,Right hand Bat,Allrounder
257,Harmeet Singh,U.S.A.,2024 - 2024,Slow Left arm Orthodox,Left hand Bat,Bowling Allrounder
258,IR Jaggi,India,,Legbreak Googly,Right hand Bat,Batter
259,DT Christian,Australia,2010 - 2021,Right arm Fast medium,Right hand Bat,Allrounder
260,RV Gomez,India,,Right arm Medium,Right hand Bat,Allrounder
261,MA Agarwal,India,2018 - 2022,Right arm Offbreak,Right hand Bat,Batter
262,AUK Pathan,India,,Right arm Medium,Right hand Bat,Bowler
263,UBT Chand,U.S.A.,,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
264,DJ Jacobs,South Africa,,Right arm Medium,Right hand Bat,Wicketkeeper Batter
265,Sunny Singh,India,,Right arm Medium fast,Right hand Bat,Batter
266,NJ Rimmington,Australia,,Right arm Fast medium,Right hand Bat,Bowler
267,AL Menaria,India,,Slow Left arm Orthodox,Left hand Bat,Allrounder
268,WD Parnell,South Africa,2009 - 2023,Left arm Medium fast,Left hand Bat,Bowler
269,JJ van der Wath,South Africa,2006 - 2007,Right arm Medium fast,Right hand Bat,Allrounder
270,R Ninan,India,,Right arm Offbreak,Right hand Bat,Allrounder
271,S Aravind,India,2015 - 2015,Left arm Medium fast,Left hand Bat,Bowler
272,MS Wade,Australia,2011 - 2024,Right arm Medium,Left hand Bat,Wicketkeeper Batter
273,TD Paine,Australia,2009 - 2021,Right arm Medium,Right hand Bat,Wicketkeeper Batter
274,SB Wagh,India,,Left arm Medium fast,Left hand Bat,Allrounder
275,AC Thomas,South Africa,2007 - 2007,Right arm Fast medium,Right hand Bat,Bowler
276,JEC Franklin,New Zealand,2001 - 2013,Left arm Medium,Left hand Bat,Allrounder
277,Shakib Al Hasan,Bangladesh,2006 - 2024,Slow Left arm Orthodox,Left hand Bat,Allrounder
278,DH Yagnik,India,,,Left hand Bat,Wicketkeeper
279,S Randiv,Sri Lanka,2009 - 2016,Right arm Offbreak,Right hand Bat,Bowler
280,BJ Haddin,Australia,2001 - 2015,,Right hand Bat,Wicketkeeper Batter
281,NLTC Perera,Sri Lanka,2009 - 2021,Right arm Medium fast,Left hand Bat,Bowling Allrounder
282,NL McCullum,New Zealand,2007 - 2016,Right arm Offbreak,Right hand Bat,Bowler
283,JE Taylor,West Indies,2003 - 2018,Right arm Fast,Right hand Bat,Bowler
284,J Syed Mohammad,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
285,RN ten Doeschate,Netherlands,2006 - 2021,Right arm Medium fast,Right hand Bat,Allrounder
286,TR Birt,Australia,2010 - 2012,Right arm Medium,Left hand Bat,Middle order Batter
287,AG Murtaza,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
288,Harpreet Singh,India,,Right arm Medium,Left hand Bat,Batter
289,M Klinger,Australia,2017 - 2017,,Right hand Bat,Batter
290,AC Blizzard,Australia,,Left arm Medium,Left hand Bat,Batter
291,I Malhotra,India,,Right arm Medium fast,Right hand Bat,Bowler
292,L Ablish,India,,Right arm Medium fast,Right hand Bat,Bowler
293,CA Ingram,South Africa,2010 - 2013,Legbreak,Left hand Bat,Top order Batter
294,S Nadeem,India,2019 - 2021,Slow Left arm Orthodox,Right hand Bat,Bowler
295,P Parameswaran,,,Left arm Medium,Right hand Bat,
296,CJ Ferguson,Australia,2009 - 2016,Right arm Medium,Right hand Bat,Middle order Batter
297,VR Aaron,India,2011 - 2015,Right arm Fast,Right hand Bat,Bowler
298,AA Chavan,India,,Slow Left arm Orthodox,Left hand Bat,Batter
299,ND Doshi,England,,Slow Left arm Orthodox,Right hand Bat,Bowler
300,B Kumar,India,2012 - 2022,Right arm Medium,Right hand Bat,Bowler
301,Y Gnaneswara Rao,India,,Right arm Medium,Right hand Bat,Allrounder
302,S Rana,India,,Right arm Medium fast,Right hand Bat,Bowler
303,BA Bhatt,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
304,F du Plessis,South Africa,2011 - 2021,Legbreak,Right hand Bat,Middle order Batter
305,RE Levi,South Africa,2012 - 2012,Right arm Medium,Right hand Bat,Opening Batter
306,GJ Maxwell,Australia,2012 - 2024,Right arm Offbreak,Right hand Bat,Batting Allrounder
307,SPD Smith,Australia,2010 - 2025,Legbreak Googly,Right hand Bat,Top order Batter
308,MN Samuels,West Indies,2000 - 2018,Right arm Offbreak,Right hand Bat,Top order Batter
309,SA Yadav,India,2021 - 2024,"Right arm Medium, Right arm Offbreak",Right hand Bat,Batter
310,KK Cooper,West Indies,,Right arm Medium,Right hand Bat,Allrounder
311,JP Faulkner,Australia,2012 - 2017,Left arm Fast medium,Right hand Bat,Bowling Allrounder
312,HV Patel,India,2021 - 2023,Right arm Medium,Right hand Bat,Bowler
313,DAJ Bracewell,New Zealand,2011 - 2023,Right arm Fast medium,Right hand Bat,Bowler
314,DJ Harris,,,Right arm Medium,Right hand Bat,
315,Ankit Sharma,India,,Slow Left arm Orthodox,Left hand Bat,Bowler
316,SP Narine,West Indies,2011 - 2019,Right arm Offbreak,Left hand Bat,Bowling Allrounder
317,GB Hogg,Australia,1996 - 2014,Left arm Wrist spin,Left hand Bat,Allrounder
318,RR Bhatkal,India,,Right arm Medium,Right hand Bat,Allrounder
319,CJ McKay,Australia,2009 - 2014,Right arm Fast medium,Right hand Bat,Bowler
320,N Saini,India,,,Right hand Bat,Wicketkeeper Batter
321,DA Miller,South Africa,2010 - 2024,Right arm Offbreak,Left hand Bat,Middle order Batter
322,Azhar Mahmood,Pakistan,1996 - 2007,Right arm Fast medium,Right hand Bat,Bowling Allrounder
323,P Negi,India,2016 - 2016,Slow Left arm Orthodox,Left hand Bat,Bowler
324,RJ Peterson,South Africa,2002 - 2014,Slow Left arm Orthodox,Left hand Bat,Bowler
325,KMDN Kulasekara,Sri Lanka,2003 - 2017,Right arm Fast medium,Right hand Bat,Bowler
326,A Ashish Reddy,India,,Right arm Medium,Right hand Bat,Allrounder
327,V Pratap Singh,,,Right arm Medium,Right hand Bat,
328,BB Samantray,India,,Right arm Medium,Right hand Bat,Allrounder
329,MJ Clarke,Australia,2003 - 2015,Slow Left arm Orthodox,Right hand Bat,Middle order Batter
330,Gurkeerat Singh,India,2016 - 2016,Right arm Offbreak,Right hand Bat,Middle order Batter
331,AP Majumdar,,,Legbreak Googly,Right hand Bat,
332,PA Reddy,India,,Legbreak,Right hand Bat,Opening Batter
333,K Upadhyay,,,Right arm Medium,Right hand Bat,
334,P Awana,India,2012 - 2012,Right arm Medium,Right hand Bat,Bowler
335,AD Russell,West Indies,2010 - 2024,Right arm Fast,Right hand Bat,Allrounder
336,A Chandila,India,,Right arm Offbreak,Right hand Bat,Allrounder
